ShortSymbol,sector,fullTimeEmployees,longBusinessSummary,city,totalRevenue,revenuePerShare,shortName,longName,symbol,sharesOutstanding,marketCap
DABUR,Consumer Defensive,7617,"Dabur India Limited operates as a fast moving consumer goods company worldwide. It operates through Consumer Care Business, Foods Business, and Others segments. The company manufactures and sells health supplements under the Dabur Chyawanprash, Dabur Honey, Dabur Immunity Kit, Dabur Vedic Suraksha Tea, and Dabur Glucose brands; digestive products under the Dabur Hajmola, Pudin Hara, Hingoli, Dabur Nature Care, and Sat Isabgol brands; and shampoos under the Dabur Almond and Vatika brands. It also offers hair oils under the Dabur Amla, Vatika, and Anmol brands; skin care products under the Dabur Gulabari, Oxylife, and Dabur Fem brands; and oral care products under the Dabur Red Paste, Dabur Meswak, Dabur Babool, Dabur Lal Dant Manjan, and Dabur Dant Rakshak Ayurvedic Paste brands. In addition, the company provides fruit juices under the R̩al and R̩al Activ brands; various cooking pastes under the Hommade brand name; and diary beverages under the Real Milkshakes and Real Golden Milk brand name. Further, it offers energizers and rejuvenators under the Shilajit, Shilajit Double Gold, and Shilajit Gold names; cough and cold products under the Dabur Honitus and Dabur Tulsi Drops brands name; women's health products, which include Dabur Dashmularishta, Dabur Ashokarishta, and Dabur Activ blood purifier; ayurvedic baby massage oil for babies under the Dabur Lal Tail name; and ayurvedic ethical products. Additionally, the company provides mosquito repellents under the Odomos brand name; air fresheners under the Odonil name; toilet cleaners under the Sanifresh Shine brand name; dish wash products under the Odopic name; and natural gum products under brand name DABISCO. Furthermore, it operates specialized beauty retail stores that offer a range of cosmetics, fragrances, skin care, and personal care products, as well as beauty and fashion accessories under the NewU brand name. Dabur India Limited was founded in 1884 and is based in Ghaziabad, India.",Ghaziabad,1.01782E+11,57.593,DABUR INDIA LTD,Dabur India Limited,DABUR.NS,1767859968,1.0829E+12
DIVISLAB,Healthcare,16818,"Divi's Laboratories Limited manufactures and sells generic active pharmaceutical ingredients (APIs), intermediates, and nutraceutical ingredients in India, the United States, Asia, Europe, and internationally. It also undertakes custom synthesis of APIs and intermediates; and supplies a range of carotenoids, as well as markets vitamins to nutritional, pharma, food/beverage, and feed industries. The company was formerly known as Divi's Research Center and changed its name to Divi's Laboratories Limited in 1994. Divi's Laboratories Limited was incorporated in 1990 and is headquartered in Hyderabad, India.",Hyderabad,71996399616,271.202,DIVI'S LABORATORIE,Divi's Laboratories Limited,DIVISLAB.NS,265468992,1.38258E+12
DRREDDY,Healthcare,22739,"Dr. Reddy's Laboratories Limited, together with its subsidiaries, operates as an integrated pharmaceutical company worldwide. It operates through Global Generics, Pharmaceutical Services and Active Ingredients (PSAI), Proprietary Products, and Others segments. The Global Generics segment manufactures and markets prescription and over-the-counter finished pharmaceutical products that are marketed under a brand name or as a generic finished dosages with therapeutic equivalence to branded formulations. This segment also engages in the biologics business. The PSAI segment manufactures and markets active pharmaceutical ingredients and intermediates, which are principal ingredients for finished pharmaceutical products. This segment also provides contract research services; and manufactures and sells active pharmaceutical ingredients and steroids in accordance with the specific customer requirements. The Proprietary Products segment focuses on the research, development, and commercialization of differentiated formulations for dermatology and neurology therapeutic areas. The Others segment engages in developing therapies in the fields of oncology and inflammation. As of March 31, 2021, it had three late stage projects at various stages of development. Its therapeutic categories primarily include gastro-intestinal, cardiovascular, anti-diabetic, dermatology, oncology, respiratory, stomatology, urology, and nephrology. The company has a collaboration, license, and option agreement with Curis, Inc. to discover, develop, and commercialize small molecule antagonists for immuno-oncology and precision oncology targets. Dr. Reddy's Laboratories Limited was incorporated in 1984 and is headquartered in Hyderabad, India.",Hyderabad,2.03406E+11,1226.421,DR REDDYS LABS,Dr. Reddy's Laboratories Limited,DRREDDY.NS,165868992,7.90971E+11
EICHERMOT,Consumer Cyclical,5005,"Eicher Motors Limited, an automobile company, manufactures and sells motorcycles and commercial vehicles in India and internationally. The company owns the Royal Enfield motorcycle brand that offers Classic, Bullet, Himalayan, Interceptor INT 650, Continental GT 650, and Thunderbird models. It designs, develops, manufactures, assembles, and sells two-wheelers, as well as sells related parts and accessories. The company, through its joint venture, Volvo Eicher Commercial Vehicles Limited, manufactures and sells light and medium duty trucks, heavy duty trucks, and buses under the Eicher brand; Volvo trucks; and engineering components and aggregates. Eicher Motors Limited was founded in 1948 and is based in Gurugram, India.",Gurugram,98101297152,358.999,EICHER MOTORS,Eicher Motors Limited,EICHERMOT.NS,273400000,7.27681E+11
GAIL,Utilities,4705,"GAIL (India) Limited operates as a natural gas processing and distribution company in India and internationally. The company operates through Transmission Services, Natural Gas Marketing, Petrochemicals, LPG and Other Liquid Hydrocarbons, and Other segments. It is involved in the transmission, distribution, and marketing of natural gas to the power, city gas distribution, fertilizer, industrial, automotive, and other sectors. The company also produces, markets, and trades in liquefied natural gas (LNG); markets liquefied petroleum gas (LPG), propane, pentane, naphtha, mixed fuel oil, propylene, and hydrogenated C4 mix; and manufactures petrochemicals, such as high-density polyethylene and linear low density polyethylene under the brand names of G-Lex and G-Lene. In addition, it operates a network of compressed natural gas stations; and provides piped natural gas to household, commercial, and industrial applications, as well as has interests in 11 exploration and production blocks located in Assam-Arakan, Cambay, Cauvery, Gujarat Kutch, and Myanmar basins covering an area of 2,170 square kilometers. Further, the company offers telecommunication services through GAILTEL; and generates, transmits, and distributes electric power through 118 MW wind power plant and 12.26 MW solar power plant. Additionally, it engages in the chartering of LNG vessels. The company owns and operates approximately 13,700 km of natural gas pipelines; 2,038 km LPG pipeline transmission network; and five gas processing plants for production of LPG, propane, pentane, naphtha, etc. GAIL (India) Limited was incorporated in 1984 and is headquartered in New Delhi, India.",New Delhi,7.07257E+11,158.037,GAIL INDIA LTD,GAIL (India) Limited,GAIL.NS,4440390144,6.72719E+11
GLAND,Healthcare,3961,"Gland Pharma Limited engages in the development, manufacture, and marketing of injectable-focused generic liquid parenteral products. The company's primary molecules include heparin sodium, enoxaparin sodium, rocuronium bromide, and daptomycin injections, as well as others. It offers its products under various therapeutic categories, such as anti-infectives, anesthetics, anti-coagulants and their antidotes, anti-malarial, cardiology, gastro-intestinal, pain management, hormones and related drugs, fertility supplements, Gnrh agonists and antagonists, anti-neoplastic, gynecological, neurological and central nervous system, respiratory, blood related, ophthalmological and otological, pain/analgesics, orthopedics, hematinic, vitamins/minerals/nutrients, and others. The company also provides contract development services. It sells its products primarily under a business to business in the United States, Europe, Canada, Australia, India, and internationally. The company was incorporated in 1978 and is based in Hyderabad, India. Gland Pharma Limited is a subsidiary of Fosun Pharma Industrial Pte. Ltd.",Hyderabad,39815360512,244.87,Gland Pharma Limited,Gland Pharma Limited,GLAND.NS,164302000,6.03982E+11
GODREJCP,Consumer Defensive,11000,"Godrej Consumer Products Limited, a fast moving consumer goods company, manufactures and markets personal care and household products in India, Africa, Indonesia, Latin America, the United States, and internationally. The company offers a range of home care and personal care, air care, household insecticides, hair colors, liquid detergents, soaps, air fresheners, hair extensions, hair care products, personal wash, wet wipes, depilatory, sanitizers, sun care, female deodorants, and color cosmetic products, as well as skin care, fabric care, and hygiene products. It provides its products primarily under the Good knight, Godrej Expert, Cinthol, Godrej No. 1, Hit, Darling, B Blunt, Godrej protekt, Godrej aer, TCB Naturals', MegaGrowth, Just For Me, African Pride Moisture Miracle, Millefiori, Issue, Ilicit, Godrej ProClean, Bidex, Inecto, Stella, Mitu, Saniter, Godrej nupur, Godrej Ezee, Pamela Grant, Renew, NYU, Roby, and Godrej Professional brands. The company has strategic partnerships with Zomato, Shop Kirana, Zoomcar, and Swiggy for the delivery of goods to consumers, retailers, and distributors during the ongoing lockdown to curb the coronavirus spread. Godrej Consumer Products Limited was founded in 1897 and is headquartered in Mumbai, India.",Mumbai,1.15957E+11,113.458,GODREJ CONSUMER PR,Godrej Consumer Products Limited,GODREJCP.NS,1022579968,9.93748E+11
GRASIM,Basic Materials,23500,"Grasim Industries Limited operates in fibre, yarn, pulp, chemicals, textile, fertilizers, and insulators businesses in India and internationally. The company operates through Viscose, Chemicals, Cement, Financial Services, and Others segments. It provides viscose staple fiber, a man-made biodegradable fiber for use in apparels, home textiles, dress materials, knitted wear products, and non-woven applications; wood pulp products; viscose filament yarn, a natural fibre for manufacturing fabrics; and textile products, such as linen and wool. The company also offers various chemical products, including chlor-alkali and epoxy resin products; and fertilizers comprising neem-coated urea, soil and crop specific customised fertilizers, seeds, agrochemicals, and plant and soil health products under the Birla Shaktiman brand name. In addition, it provides electrical insulators for transmission lines and substations, as well as equipment and railways. Further, the company offers grey cement; white cement under the Birla White brand; ready mix concrete; and cement-based putty. Additionally, it provides various financial services comprising non-bank financial, life insurance, asset management, housing finance, equity broking, wealth management, general insurance advisory, and health insurance services. The company is also involved in solar power designing, engineering procurement, and commissioning business. Grasim Industries Limited was incorporated in 1947 and is based in Mumbai, India.",Mumbai,8.32737E+11,1267.996,GRASIM INDUSTRIES,Grasim Industries Limited,GRASIM.NS,658225024,1.17928E+12
HCLTECH,Technology,187634,"HCL Technologies Limited offers software development, business process outsourcing, and infrastructure management services worldwide. It operates through three segments: IT and Business Services; Engineering and R&D Services; and Products & Platforms. The IT and Business Services segment provides IT and business services, such as application, infrastructure, and digital process operations; digital transformation services for digital and analytics; IoTWoRKs; and cloud native and cybersecurity solutions. Its Engineering and R&D Services segment offers engineering services and solutions to software, embedded, mechanical, VLSI, and platform engineering that support the lifecycle of products for hardware and software industries. The Products & Platforms segment provides modernized software products for technology and industry specific requirements. This segment also offers HCL software; DRYiCE software, an organic IP-based software unit; Actian, a portfolio of products and solutions, including data management, integration, analytics, and hybrid data for enterprises, retail, telecommunications, media, healthcare, and manufacturing. The company also offers hybrid clouds, digital workplace, and cloud native services, as well as service integration and management. It serves financial services, manufacturing, life sciences and healthcare, public services, retail and CPG, technology and services, telecom, media, publishing, and entertainment industries. HCL Technologies Limited has strategic alliances with Alteryx, Inc. to enhance analytics automation and digital transformation for Global 2000 enterprises; Workato, Inc. to introduce ADvantage Workato, a set of offerings and integrations with the Workato platform; Moogsoft Inc. to deliver a solution for automated remediation of IT incidents; and HANCOM Inc. to advance technology solutions, as well as a partnership with Finastra Group Holdings Limited to drive digital transformation. The company was founded in 1976 and is headquartered in Noida, India.",Noida,10822759424,3.988,HCL TECHNOLOGIES,HCL Technologies Limited,HCLTECH.NS,2713669888,3.21054E+12
HDFCAMC,Financial Services,1254,"HDFC Asset Management Company Limited is a publically owned investment manager. The firm launches and manages equity, fixed income, and balanced mutual funds for its clients. It manages equity, fixed income, balanced, and real estate portfolios. The firm invests in public equity and fixed income markets. The firm employs fundamental analysis to make its investments. HDFC Asset Management Company Limited was founded on December 10, 1999 and is based in Mumbai, Maharashtra. HDFC Asset Management Company Limited operates as a subsidiary of Housing Development Finance Corporation Limited.",Mumbai,23570100224,110.664,HDFC ASSET MANAGEM,HDFC Asset Management Company Limited,HDFCAMC.NS,213166000,5.65945E+11
HDFCBANK,Financial Services,129341,"HDFC Bank Limited provides various banking and financial services to individuals and businesses in India, Bahrain, Hong Kong, and Dubai. It operates in Treasury, Retail Banking, Wholesale Banking, Other Banking Business, and Unallocated segments. The company accepts savings, salary, current, rural, public provident fund, pension, and Demat accounts; fixed and recurring deposits; and safe deposit lockers; as well as offshore accounts and deposits, overdrafts against fixed deposits, and sweep-in facilities. It also provides personal, home, car, two wheeler, business, educational, gold, consumer, and rural loans; loans against properties, securities, rental receivables, and assets; loans for professionals; government sponsored programs; and loans on credit card, as well as working capital and commercial/construction equipment finance, healthcare/medical equipment and commercial vehicle finance, dealer finance, and term and professional loans. In addition, the company offers credit, debit, prepaid, and forex cards; payment and collection, export, import, remittance, bank guarantee, letter of credit, trade, hedging, and merchant and cash management services; and insurance and investment products. Further, it provides short term finance, bill discounting, structured finance, export credit, loan syndication, and documents collection services; online and wholesale, mobile, and phone banking services; unified payment interface, immediate payment, national electronic funds transfer, and real time gross settlement services; and channel financing, vendor financing, reimbursement account, money market, derivatives, employee trusts, cash surplus corporates, tax payment, and bankers to rights/public issue services, as well as financial solutions for supply chain partners and agricultural customers. As of March 31, 2021, it had 5,608 branches and 16,087 automated teller machines in 2,902 cities/towns. HDFC Bank Limited was incorporated in 1994 and is based in Mumbai, India.",Mumbai,8.37239E+11,151.884,HDFC BANK,HDFC Bank Limited,HDFCBANK.NS,5539409920,8.82954E+12
HDFCLIFE,Financial Services,20636,"HDFC Life Insurance Company Limited provides individual and group insurance solutions in India. It offers insurance and investment products, such as protection, pension, savings, investment, annuity, and health, as well as term, retirement, investment, children's, and unit linked insurance, NRI, and group insurance plans. The company was formerly known as HDFC Standard Life Insurance Company Limited changed its name to HDFC Life Insurance Company Limited in January 2019. The company was incorporated in 2000 and is based in Mumbai, India.",Mumbai,7.63742E+11,378.288,HDFC LIFE INSURANC,HDFC Life Insurance Company Limited,HDFCLIFE.NS,2023129984,1.40891E+12
HAVELLS,Industrials,5727,"Havells India Limited, a fast moving electrical goods company, manufactures, sells, and exports industrial and consumer electrical products in India and internationally. It operates through five segments: Switchgears, Cables, Lighting and Fixtures, Electrical Consumer Durables, and Lloyd Consumer. The company offers switches; switchgears, such as circuit breakers, energy savers, human safety equipment, distribution boards, surge protection devices, and control and monitoring devices, as well as electrical wiring accessories, industrial motors, and capacitors; appliances, including cooking, food preparation, brewing, garment care, climate control appliances, and air purifiers; and cables consisting of domestic cables and industrial underground cables, as well flexible cables. It also provides fans comprising ceiling, table, pedestal, wall, ceiling mounting, personal, and domestic exhaust fans; lighting solutions; storage, instant, instantaneous gas, solar water heaters, and online electric hot water taps; pumps, such as centrifugal, mono block, and submersible pumps; water purifiers; air conditioners; televisions; refrigerator; washing machines; air circulators; heavy duty exhaust fans; and air coolers. In addition, the company offers motors, including crane duty, smoke, brake, inverter duty, and energy efficient motors; reactive power solutions; and personal grooming products. Further, it provides lighting products, such as LED, and industrial and commercial luminaries; down lighters; landscape and area lighting products; lamps; home decor items; and spotlights, as well as LED strips, battens, COB, panels, etc. The company offers its products under the Havells, Lloyd, Crabtree, Standard, an REO brands. Havells India Limited was founded in 1958 and is headquartered in Noida, India.",Noida,1.23624E+11,197.488,HAVELLS INDIA,Havells India Limited,HAVELLS.NS,626302976,8.10718E+11
HEROMOTOCO,Consumer Cyclical,8793,"Hero MotoCorp Limited designs, develops, manufactures, assembles, and sells vehicles. It offers motorcycles and scooters. The company also provides engines, as well as related parts and accessories. It has operations in India, Bangladesh, Myanmar, Nepal, Sri Lanka, Angola, Burkina Faso, the Democratic Republic of Congo, Ethiopia, Ghana, Guinea, Ivory Coast, Kenya, Liberia, Madagascar, Mozambique, Nigeria, South Africa, Tanzania, Uganda, Egypt, Iran, Turkey, Zambia, Djibouti, Mauritius, Iraq, the United Arab Emirates, Saudi Arabia, Kuwait, Bahrain, Yemen, Argentina, Bolivia, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Peru, Guyana, Trinidad and Tobago, Austria, and Germany. Hero MotoCorp Limited has a strategic partnership with Gogoro Inc. to enhance the shift to sustainable electric mobility in India. The company was formerly known as Hero Honda Motors Ltd. and changed its name to Hero MotoCorp Limited in July 2011. Hero MotoCorp Limited was incorporated in 1984 and is headquartered in New Delhi, India.",New Delhi,3.34929E+11,1676.791,HERO MOTOCORP LTD,Hero MotoCorp Limited,HEROMOTOCO.NS,199794000,5.34948E+11
HINDALCO,Basic Materials,37500,"Hindalco Industries Limited, together with its subsidiaries, produces and sells aluminum and copper products in India and internationally. It operates through Aluminium, Copper, Novelis, and All Other Segments. The company offers alumina; primary aluminum in the form of ingots, billets, and wire rods; aluminum flat rolled products (FRP); aluminum extrusions; and aluminum foil and packaging solutions for use in the automotive and transport, building and construction, defense, electrical and electronics, pharmaceuticals and packaging, and white goods industries, as well as industrial applications. It also provides coarse alumina hydrate for use in alum, poly aluminum chloride, aluminum fluoride, sodium aluminate, glass, and aluminum hydroxide gel; and fine alumina hydrates, as well as flame retardants and smoke suppressants in cables, rubbers, plastics, etc.; and calcined alumina for use in ceramics, refractories, polishing, and glass. In addition, the company offers copper products, including copper cathodes and continuous cast copper rods that are used in the agrochemical, automotive and transport, consumer durable, electrical equipment, railway, and wire and cable industries. Further, it operates an all-weather jetty in the Gulf of Khambhat on the west coast of India; produces di-ammonium phosphate and nitrogen phosphorus potassium complexes; and phosphoric acid, phosphogypsum, sulfuric acid, copper slag, and aluminum fluoride, as well as gold, silver, selenium. The company offers its aluminum extrusion products under the Hindalco extrusions, Maxloader, and Eternia brands; aluminum FRP under the Everlast brand; aluminum foils under the Freshwrapp and Superwrap brands; and copper products under the Birla Balwan brand. Hindalco Industries Limited was incorporated in 1958 and is based in Mumbai, India.",Mumbai,1.4806E+12,665.544,HINDALCO INDS,Hindalco Industries Limited,HINDALCO.NS,2230640128,1.06691E+12
HINDPETRO,Energy,9448,"Hindustan Petroleum Corporation Limited refines and markets petroleum products in India and internationally. The company operates through Downstream Petroleum and All Other segments. It offers petrol, diesel, kerosene, liquefied petroleum gas (LPG), naphtha lubricants, specialties, and greases, as well as aviation turbine fuel; and markets and exports bulk fuels, bitumen, solvents, jet and marine fuel, marine lubes, household insecticides, hexane, propylene, jute batch oil, turpentine oil, carbon black feed stock, molten sulphur, and superior kerosene oil (SKO). The company is also involved in international trade activities, including crude oil imports, petroleum product imports/exports, import/export registration, shipping, supplies for domestic markets, and product exchange with other Indian oil marketing companies and oil price risk management. In addition, it offers LPG products under the HP Gas brand, as well as bulk LPG products for industries; and operates retail petrol pumps and pipelines for the transportation of petroleum products. Further, the company explores for and produces hydrocarbons, as well as provides management services for exploration and production blocks; and operates sugar ethanol-cogen plants in Bihar, wind power plants in Maharashtra and Rajasthan, and solar power plant in Karnataka. As of March 31, 2021, it operated through a marketing network of 133 regional offices; 70 depots; 51 LPG bottling plants; 46 aviation service facilities; 18,634 retail outlets; 1,638 SKO and light diesel oil dealers; and 6,192 LPG distributors, as well as 41 terminals, installation, and tap off points. The company was incorporated in 1952 and is headquartered in Mumbai, India. Hindustan Petroleum Corporation Limited is a subsidiary of Oil and Natural Gas Corporation Limited.",Mumbai,2.6682E+12,1795.257,HINDUSTAN PETROL,Hindustan Petroleum Corporation Limited,HINDPETRO.NS,1418550016,4.56631E+11
HINDUNILVR,Consumer Defensive,21000,"Hindustan Unilever Limited, a consumer goods company, manufactures and sells home and personal care, food, and refreshment products in India and internationally. The company operates through Home Care, Beauty & Personal Care, Foods & Refreshment, and Others segments. The Home Care segment offers detergent bars and powders, detergent liquids, scourers, water business, purifiers business, etc. The Beauty & Personal Care segment provides oral, skin, and hair care products, as well as soaps, deodorants, talcum powder, color cosmetics, salon services, etc. The Foods & Refreshment segment provides staples, including atta, salt, bread, etc.; and culinary products, such as tomato based products, fruit based products, soups, etc., as well as tea, coffee, health food drinks, ice-creams, and frozen desserts. The Others segment offers infant care products and exports products. The company also engages in the beauty salons, job work, discharge trust, and real estate businesses. It provides its foods and refreshment products under the Boost, Cornetto, HELLMANN'S, Horlicks, Knorr, Lipton, Magnum, BRU, Annapurna, Brooke Bond 3 Roses, Brooke Bond Red Label, Brooke Bond Taaza, Brooke Bond Taj Mahal, Kissan, and Kwality Wall's brands; and home care products under the Cif, Comfort, Active Wheel, Domex, Rin, Surf excel, Vim, love & care, nature protect, and Sunlight brands. The company offers its beauty and personal care products under the Axe, Dove, Lifebuoy, LOVE beauty AND planet, Lux, Pepsodent, Pond's, Sunsilk, Sure, TRESemm̩, Vaseline, aviance, Breeze, Citra, Clear, Closeup, Fair & Lovely, Lakm̩, Pears, TIGI, TONI & GUY, Brylcreem, Clinic Plus, ELLE 18, Glow & Handsome, Hamam, ayush, Indulekha, Liril, Pure Derm, VWASH Plus, and Rexona brands; and water purifiers under the Pureit brand. The company was founded in 1888 and is headquartered in Mumbai, India. Hindustan Unilever Limited operates as a subsidiary of Unilever Plc.",Mumbai,4.9854E+11,212.139,HINDUSTAN UNILEVER,Hindustan Unilever Limited,HINDUNILVR.NS,2349590016,5.6927E+12
HDFC,Financial Services,3226,"Housing Development Finance Corporation Limited provides housing finance to individuals and corporate customers in India. It operates through Loans, Life Insurance, General Insurance, Asset Management, and Others segments. The company accepts fixed deposits, such as monthly income plans, non-cumulative interest plans, annual income plans, and cumulative options; and trust deposits. It offers loans for the purchase and construction of houses; home improvement and extension, plot, and top-up loans; loans to agriculturists, planters, horticulturists, and dairy farmers; loans for the salaried/self-employed individuals; loans for non-resident Indians; loans against property; and loans for non-residential premises and commercial plots, as well as education loans. In addition, the company provides cross-selling products and services; investment advisory services; life insurance products; general insurance products, including motor, health, travel, crop, home, personal accident, property, marine, aviation, and liability insurance; venture capital funds; asset management services comprising portfolio management, mutual fund, and property investment management; and other services consisting of project management, investment consultancy, and property related services. As of June 30, 2021, it operated through a network of 603 offices; and 3 representative offices in Dubai, London, and Singapore. The company was incorporated in 1977 and is based in Mumbai, India.",Mumbai,1.15213E+12,639.103,HOUSING DEVEL FIN,Housing Development Finance Corporation Limited,HDFC.NS,1808210048,5.24327E+12
ICICIBANK,Financial Services,98750,"ICICI Bank Limited provides various banking products and financial services in India and internationally. It operates through Retail Banking, Wholesale Banking, Treasury, Other Banking, Life insurance, General insurance, and Others segments. The company offers savings, salary, pension, current, and other accounts; and fixed, recurring, and security deposits. It also provides home, car, two wheeler, personal, gold, and commercial business loans, as well as loans against securities and other loans; business loans, such as working capital finance, term loans, collateral free loans, loans without financials, finance for importers and exporters, and secured loans for credit card swipes, as well as loans for new entities, and schools and colleges; and credit, debit, prepaid, travel, and corporate cards. In addition, the company offers insurance products; pockets wallet; fixed income products; investment products, such as mutual funds, gold monetization schemes, and initial public offerings, as well as other online investment services; and farmer finance, tractor loans, and micro banking services, as well as other services to agri traders and processors, and agri corporates. Further, it provides portfolio management, trade, foreign exchange, locker, private and NRI banking, and cash management services; family wealth and demat accounts; commercial and investment banking, capital market, custodial, project and technology finance, and institutional banking services, as well as Internet, mobile, and phone banking services. Additionally, the company offers securities investment, broking, trading, and underwriting services; and merchant banking, trusteeship, housing finance, and pension fund management services. As of March 31, 2021, it had a network of 5,266 branches, 14,136 ATMs, 1,786 insta-banking kiosks, and 2,713 cash acceptance machines. ICICI Bank Limited was founded in 1955 and is headquartered in Mumbai, India.",Mumbai,1.01408E+12,146.656,ICICI BANK,ICICI Bank Limited,ICICIBANK.NS,6938319872,5.42646E+12
ICICIGI,Financial Services,10236,"ICICI Lombard General Insurance Company Limited provides various general insurance products and services in India. The company primarily offers motor, car, two wheeler, health, health booster, personal accident, travel, home, marine, NRI, business, third party, crop, rural, fire, engineering, liability, engineering, employee group, cattle, weather, and cyber insurance products; and provides reinsurance services. It serves customers through body corporates, as well as small, micro, and medium enterprises; state and central governments, government-owned enterprises, and rural customers; and agents, brokers, bancassurance, telesales, direct alliances, motor insurance service providers, and online platforms. The company was incorporated in 2000 and is based in Mumbai, India. ICICI Lombard General Insurance Company Limited operates as a subsidiary of ICICI Bank Limited.",Mumbai,1.48632E+11,314.559,ICICI LOMBARD GEN,ICICI Lombard General Insurance Company Limited,ICICIGI.NS,490547008,7.49875E+11
ICICIPRULI,Financial Services,14413,"ICICI Prudential Life Insurance Company Limited provides life insurance, pension, and health insurance products to individuals and groups in India. It offers participating, non-participating non-linked, and non-participating linked. The company also provides term life, health, savings, annuity, and retirement insurance products; and pension fund management services. It distributes its products through individual and corporate agents, banks, and brokers, as well as through its own sales force and website. The company was incorporated in 2000 and is based in Mumbai, India. ICICI Prudential Life Insurance Company Limited operates as a subsidiary of ICICI Bank Limited.",Mumbai,8.8795E+11,618.194,ICICI PRUDENTIAL L,ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS,1437209984,9.01418E+11
ITC,Consumer Defensive,26071,"ITC Limited engages in the fast-moving consumer goods, hotels, paperboards and paper, packaging, agri, and information technology (IT) businesses in India and internationally. The company primarily offers cigarettes and cigars; staples, spices, biscuits, confectionery and gums, snacks, noodles and pasta, beverages, dairy, ready to eat meals, chocolate, coffee, and frozen foods; personal care products; notebooks, pens and pencils, geometry boxes, erasers, sharpeners, rulers, wax and plastic crayons, sketch pens, and oil pastels; safety matches; and incense sticks under various brands, as well as retails formal and casual wear products under the WLS brand. It also operates approximately 100 hotels under the ITC Hotel, WelcomHotel, Fortune, and WelcomHeritage brands; and Kaya Kalp spas. In addition, the company offers virgin, recycled, barrier coated, biodegradable barrier coated, and graphic boards, as well as specialty papers; and packaging products, such as carton board, flexible, tobacco, and green packaging products; and exports feed ingredients, food grains, marine products, processed fruits, coffee products, leaf tobacco products, and spices. Further, it offers information technology services for the banking, financial services, consumer packaged goods, manufacturing, travel, hospitality, and healthcare industries. Additionally, the company provides property infrastructure and estate maintenance, business consulting, real estate development, and agro-forestry and other related services; manages and operates golf courses; fabricates and assembles machinery for tube filling, cartoning, wrapping, conveyor solutions, and engineering services; produces and commercializes seed potato technology products; and air ticketing, car rental, inbound outbound tourism, domestic holiday, conference, event and exhibition management, and foreign exchange services. ITC Limited was incorporated in 1910 and is headquartered in Kolkata, India.",Kolkata,5.44264E+11,44.232,ITC LTD,ITC Limited,ITC.NS,12321599488,2.79146E+12
IOC,Energy,31648,"Indian Oil Corporation Limited, together with its subsidiaries, engages in the refining, pipeline transportation, and marketing of petroleum products in India. It is also involved in the exploration and production of crude oil and gas; and marketing of natural gas and petrochemicals. The company's products include petrol/gasoline, diesel/gas oil, lubricants and greases, auto gas, cooking gas, kerosene, LPG, bulk/industrial fuels, aviation fuel, marine oils, and bitumen. In addition, it offers special products, such as carbon black feedstock, raw petroleum coke, sulphur, paraffin wax, raw petroleum coke, jute batching oil, micro crystalline wax, mineral turpentine oil, toluene, propylene, benzene, and petcoke. The company operates through a network of approximately 9 refineries; 15,000 kilometers of crude/product and gas pipelines; approximately 29,000 fuel stations, including 8,515 Kisan Seva Kendra outlets; 118 terminals and depots; 95 LPG bottling plants; 121 aviation fuel stations; 6,885 consumer pumps; and approximately 12,726 LPG distributors. Its exploration and production portfolio comprises 9 oil and gas blocks in India; and 11 blocks in Canada, Gabon, Israel, Libya, Nigeria, Oman, Russia, the United Arab Emirates, the United States, and Venezuela. Further, it engages in the explosives and cryogenic; wind and solar power generation; lube blending; and lubricants and base oil marketing activities. The company was incorporated in 1959 and is based in New Delhi, India.",New Delhi,4.77271E+12,519.773,INDIAN OIL CORP,Indian Oil Corporation Limited,IOC.NS,9414160384,1.26762E+12
IGL,Utilities,707,"Indraprastha Gas Limited engages in the distribution of natural gas in India. The company supplies compressed natural gas (CNG) to the transport sector; and piped natural gas to domestic, industrial, and commercial sectors in Delhi, Greater Noida, Ghaziabad, Hapur, Meerut, Shamli, Kanpur, Fatehpur, Hamirpur, Muzaffarnagar, Gurugram, Rewari, Karnal, Kaithal, Ajmer, Pali, and Rajsamand. As of March 31, 2021, it operated 612 CNG stations; and serves 16.85 Lakh households, and 6,687 commercial and industrial consumers. The company also operates 1,265 kilometers of steel pipeline network; and 15,262 kilometers MDPE network. Indraprastha Gas Limited was incorporated in 1998 and is headquartered in New Delhi, India.",New Delhi,55596199936,79.518,INDRAPRASTHA GAS,Indraprastha Gas Limited,IGL.NS,700001024,3.36666E+11
INDUSTOWER,Communication Services,3271,"Indus Towers Limited establishes, operates, and maintains wireless communication towers. As of March 31, 2021, it owned and operated approximately 179,225 towers and 322,438 co-locations in 22 telecom circles in India. The company was incorporated in 2006 and is based in Gurugram, India.",Gurugram,2.4226E+11,93.897,INDUS TOWERS LIMITED,Indus Towers Limited,INDUSTOWER.NS,2694469888,7.73717E+11
